id,title,authors,categories,date,comments
2512.05118,On the treatment of thermal effects in the equation of state on neutron star merger remnants,"Davide Guerra, Milton Ruiz, Michele Pasquali, Pablo Cerd\'a-Dur\'an, Arnau Rios, Jos\'e A. Font",gr-qc astro-ph.HE,2025-12-04,"31 pages, 26 figures, open to suggestions"
2512.05117,The Universal Weight Subspace Hypothesis,"Prakhar Kaushik, Shravan Chaudhari, Ankit Vaidya, Rama Chellappa, Alan Yuille",cs.LG cs.AI cs.CV,2025-12-04,37 pages
2512.05116,Value Gradient Guidance for Flow Matching Alignment,"Zhen Liu, Tim Z. Xiao, Carles Domingo-Enrich, Weiyang Liu, Dinghuai Zhang",cs.LG cs.CV,2025-12-04,"Accepted at NeurIPS 2025; 26 pages, 20 figures"
2512.05115,Light-X: Generative 4D Video Rendering with Camera and Illumination Control,"Tianqi Liu, Zhaoxi Chen, Zihao Huang, Shaocong Xu, Saining Zhang, Chongjie Ye, Bohan Li, Zhiguo Cao, Wei Li, Hao Zhao, Ziwei Liu",cs.CV,2025-12-04,Project Page: https://lightx-ai.github.io/
2512.05114,Deep infant brain segmentation from multi-contrast MRI,"Malte Hoffmann, Lilla Z\""ollei, Adrian V. Dalca",cs.LG cs.CV eess.IV,2025-12-04,"8 pages, 8 figures, 1 table, website at https://w3id.org/babyseg, presented at the 2025 IEEE Asilomar Conference on Signals, Systems, and Computers"
2512.05113,Splannequin: Freezing Monocular Mannequin-Challenge Footage with Dual-Detection Splatting,"Hao-Jen Chien, Yi-Chuan Huang, Chung-Ho Wu, Wei-Lun Chao, Yu-Lun Liu",cs.CV,2025-12-04,WACV 2025. Project page: https://chien90190.github.io/splannequin/
2512.05112,DraCo: Draft as CoT for Text-to-Image Preview and Rare Concept Generation,"Dongzhi Jiang, Renrui Zhang, Haodong Li, Zhuofan Zong, Ziyu Guo, Jun He, Claire Guo, Junyan Ye, Rongyao Fang, Weijia Li, Rui Liu, Hongsheng Li",cs.CV cs.AI cs.CL cs.LG,2025-12-04,Project Page: https://github.com/CaraJ7/DraCo
2512.05111,ARM-Thinker: Reinforcing Multimodal Generative Reward Models with Agentic Tool Use and Visual Reasoning,"Shengyuan Ding, Xinyu Fang, Ziyu Liu, Yuhang Zang, Yuhang Cao, Xiangyu Zhao, Haodong Duan, Xiaoyi Dong, Jianze Liang, Bin Wang, Conghui He, Dahua Lin, Jiaqi Wang",cs.CV,2025-12-04,
2512.05110,ShadowDraw: From Any Object to Shadow-Drawing Compositional Art,"Rundong Luo, Noah Snavely, Wei-Chiu Ma",cs.CV cs.AI cs.GR,2025-12-04,Project page: https://red-fairy.github.io/ShadowDraw/
2512.05109,Global phase diagram of two-dimensional dirty hyperbolic Dirac liquids,"Christopher A. Leong, Daniel J. Salib, Bitan Roy",cond-mat.mes-hall cond-mat.dis-nn cond-mat.stat-mech hep-th,2025-12-04,6 Pages and 3 Figures
2512.05108,The spectrum of $n_s$ constraints from DESI and CMB data,Evan McDonough and Elisa G. M. Ferreira,astro-ph.CO,2025-12-04,"10 pages, 4 figures"
2512.05107,STARE-VLA: Progressive Stage-Aware Reinforcement for Fine-Tuning Vision-Language-Action Models,"Feng Xu, Guangyao Zhai, Xin Kong, Tingzhong Fu, Daniel F.N. Gordon, Xueli An, Benjamin Busam",cs.RO,2025-12-04,
